date,produccion_tons,precio_productor_ton,rendimiento,superficie_cosechada,superficie_sembrada,precio_productor_kg,month,year,month_sin,month_cos
2015-04-01,8724.279922676964,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,4,2015,0.8660254037844387,-0.49999999999999983
2015-05-01,9035.320701254164,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,5,2015,0.49999999999999994,-0.8660254037844387
2015-06-01,7632.628188343715,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,6,2015,1.2246467991473532e-16,-1.0
2015-07-01,8748.715372833125,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,7,2015,-0.4999999999999998,-0.8660254037844388
2015-08-01,9093.10695324574,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,8,2015,-0.8660254037844384,-0.5000000000000004
2015-09-01,11365.591169558249,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,9,2015,-1.0,-1.8369701987210297e-16
2015-10-01,11797.488874527138,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,10,2015,-0.8660254037844386,0.5000000000000001
2015-11-01,11544.733282650941,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,11,2015,-0.5000000000000004,0.8660254037844384
2015-12-01,10866.64529994679,15363.760337742966,8.673214886794478,13062.65,17040.85,15.363760337742965,12,2015,-2.4492935982947064e-16,1.0
2016-01-01,18153.968334927125,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,1,2016,0.49999999999999994,0.8660254037844387
2016-02-01,13468.83325868877,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,2,2016,0.8660254037844386,0.5000000000000001
2016-03-01,14730.715388765322,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,3,2016,1.0,6.123233995736766e-17
2016-04-01,14651.315068851705,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,4,2016,0.8660254037844387,-0.49999999999999983
2016-05-01,11586.826071819687,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,5,2016,0.49999999999999994,-0.8660254037844387
2016-06-01,5546.587912897173,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,6,2016,1.2246467991473532e-16,-1.0
2016-07-01,8514.99656019648,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,7,2016,-0.4999999999999998,-0.8660254037844388
2016-08-01,9327.288714133869,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,8,2016,-0.8660254037844384,-0.5000000000000004
2016-09-01,11945.979182649873,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,9,2016,-1.0,-1.8369701987210297e-16
2016-10-01,10659.824987965882,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,10,2016,-0.8660254037844386,0.5000000000000001
2016-11-01,10678.558672883139,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,11,2016,-0.5000000000000004,0.8660254037844384
2016-12-01,14239.725846220965,13155.999506200702,10.49161176916145,13235.9,19537.55,13.155999506200702,12,2016,-2.4492935982947064e-16,1.0
2017-01-01,19775.602732641288,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,1,2017,0.49999999999999994,0.8660254037844387
2017-02-01,14609.632923846008,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,2,2017,0.8660254037844386,0.5000000000000001
2017-03-01,16041.607729861693,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,3,2017,1.0,6.123233995736766e-17
2017-04-01,15120.091348640459,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,4,2017,0.8660254037844387,-0.49999999999999983
2017-05-01,12443.002034442052,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,5,2017,0.49999999999999994,-0.8660254037844387
2017-06-01,11183.737248130268,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,6,2017,1.2246467991473532e-16,-1.0
2017-07-01,10239.997859050383,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,7,2017,-0.4999999999999998,-0.8660254037844388
2017-08-01,10608.089975456794,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,8,2017,-0.8660254037844384,-0.5000000000000004
2017-09-01,12213.782468514826,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,9,2017,-1.0,-1.8369701987210297e-16
2017-10-01,14340.050147387094,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,10,2017,-0.8660254037844386,0.5000000000000001
2017-11-01,15139.625637170415,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,11,2017,-0.5000000000000004,0.8660254037844384
2017-12-01,17972.929894858742,17053.130253050094,11.181813240357517,14675.409999999998,21027.219999999998,17.053130253050096,12,2017,-2.4492935982947064e-16,1.0
2018-01-01,20926.771612169377,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,1,2018,0.49999999999999994,0.8660254037844387
2018-02-01,18019.427910241237,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,2,2018,0.8660254037844386,0.5000000000000001
2018-03-01,19913.764655075945,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,3,2018,1.0,6.123233995736766e-17
2018-04-01,19693.484228155376,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,4,2018,0.8660254037844387,-0.49999999999999983
2018-05-01,16813.2900621654,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,5,2018,0.49999999999999994,-0.8660254037844387
2018-06-01,15121.772880244709,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,6,2018,1.2246467991473532e-16,-1.0
2018-07-01,12353.345390407942,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,7,2018,-0.4999999999999998,-0.8660254037844388
2018-08-01,13197.83630049383,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,8,2018,-0.8660254037844384,-0.5000000000000004
2018-09-01,13336.785332079486,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,9,2018,-1.0,-1.8369701987210297e-16
2018-10-01,17363.461329059097,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,10,2018,-0.8660254037844386,0.5000000000000001
2018-11-01,15978.880764895073,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,11,2018,-0.5000000000000004,0.8660254037844384
2018-12-01,19085.549535012524,15935.93507068107,10.2585669038071,18661.73,22528.83,15.935935070681069,12,2018,-2.4492935982947064e-16,1.0
2019-01-01,27893.814243106433,19901.5045772116,11.19520329397189,19556.9,23702.32,19.9015045772116,1,2019,0.49999999999999994,0.8660254037844387
2019-02-01,21610.994251310556,19901.5045772116,11.19520329397189,19556.9,23702.32,19.9015045772116,2,2019,0.8660254037844386,0.5000000000000001
2019-03-01,24978.74561567976,19901.5045772116,11.19520329397189,19556.9,23702.32,19.9015045772116,3,2019,1.0,6.123233995736766e-17
2019-04-01,21473.752188932856,19901.5045772116,11.19520329397189,19556.9,23702.32,19.9015045772116,4,2019,0.8660254037844387,-0.49999999999999983
2019-05-01,16546.15317636341,19901.5045772116,11.19520329397189,19556.9,23702.32,19.9015045772116,5,2019,0.49999999999999994,-0.8660254037844387
2019-06-01,8089.513968794962,19901.5045772116,11.19520329397189,19556.9,23702.32,19.9015045772116,6,2019,1.2246467991473532e-16,-1.0
