precio_promedio,temp_min_c,temp_avg_c,temp_max_c,importaciones_kg,precio_importacion_usd,year,precio_lag1,precio_lag2,precio_lag3,precio_ma3,precio_ma6,precio_ma12,precio_std3,precio_promedio_log,cosecha_tons_log,precio_promedio_boxcox,temp_avg_c_boxcox,temp_marcena,month_cos
57.018,17.1,23.1,29.0,58337650.0,3.328138037785204,2021.0,50.641,46.058,33.295,51.239,39.753,34.48733333333333,5.504416681175202,4.060753307227011,0.0,1.270903909972879,2995.1946761698623,0.0,-0.5000000000000004
63.397,16.9,22.6,28.3,78737038.0,3.2863837473794733,2021.0,57.018,50.641,46.058,57.01866666666666,46.02916666666667,37.301249999999996,6.378000026131465,4.165067048174315,0.0,1.275690545880504,2821.8086907472493,0.0,-1.8369701987210297e-16
50.708,15.7,22.3,28.9,91101853.0,2.531336107949418,2021.0,63.397,57.018,50.641,57.041,50.18616666666667,39.047333333333334,6.344531267162265,3.9456125084217013,0.0,1.2651673748569066,2720.973387538734,0.0,0.5000000000000001
46.365,11.4,19.8,28.2,94475429.0,2.656011617581541,2021.0,50.708,63.397,57.018,53.49,52.3645,40.441916666666664,8.850248527583826,3.857883559327498,0.0,1.2604520051481392,1970.229585152248,0.0,0.8660254037844384
46.3,9.8,18.7,27.7,97112913.0,3.003227562538465,2021.0,46.365,50.708,63.397,47.791,52.40483333333333,41.83108333333333,2.5264051535729335,3.856510295497887,0.0,1.2603757013010015,1688.0864455082417,0.0,1.0
53.075,9.4,18.2,27.0,106367308.0,3.3452045340848526,2022.0,46.3,46.365,50.708,48.580000000000005,52.81050000000001,43.78483333333333,3.892919855327087,3.9903719718391226,0.0,1.267456358512764,1569.0436653696997,0.0,0.8660254037844387
60.255,9.8,19.1,28.4,60671106.0,3.4007037880601683,2022.0,53.075,46.3,46.365,53.21,53.35,46.5515,6.978479418899203,4.115045478746134,0.0,1.2734418682919226,1787.4215436467814,0.0,0.5000000000000001
66.814,10.5,20.5,30.6,86285821.0,3.6800081672746674,2022.0,60.255,53.075,46.3,60.048,53.9195,49.974333333333334,6.871838691354703,4.216768663305808,0.0,1.2779278466114286,2164.7415859143057,0.0,6.123233995736766e-17
82.162,13.1,22.8,32.5,77327988.0,4.4918523032048885,2022.0,66.814,60.255,53.075,69.74366666666667,59.161833333333334,54.674,11.243503561316322,4.420790512724665,0.0,1.2859572612384067,2890.359264738594,1.0,-0.49999999999999983
87.84,15.6,24.7,33.9,59078532.0,4.833045479193694,2022.0,82.162,66.814,60.255,78.93866666666666,66.07433333333333,59.21941666666667,10.87729641654271,4.4868369990262265,0.0,1.2883043831511607,3596.050253272396,1.0,-0.8660254037844387
